Version;Filename;LOC_Added;LOC_deleted;Set_size;Author
7;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;2;2;77;Flavio Paiva Junqueira
7;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;3;3;77;Flavio Paiva Junqueira
7;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;3;3;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java;4;3;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/client/TestSubAfterCloseSub.java;2;0;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/client/netty/TestMultiplexing.java;2;1;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java;2;6;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java;3;8;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java;3;8;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/TestBackwardCompat.java;1;5;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/delivery/TestThrottlingDelivery.java;2;0;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java;3;3;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java;6;6;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java;2;3;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java;4;3;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java;2;0;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManager.java;4;8;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java;5;8;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java;5;9;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestDeadlock.java;0;1;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java;10;7;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java;7;10;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java;10;7;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java;0;5;77;Flavio Paiva Junqueira
7;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestUpdateSubscriptionState.java;2;2;77;Flavio Paiva Junqueira
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;7;5;2;Sijie Guo
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;5;5;2;Sijie Guo
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieRequestProcessor.java;2;2;2;Flavio Paiva Junqueira
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;3;2;2;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/AutoRecoveryMain.java;1;1;2;Sijie Guo
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/CheckpointSource.java;1;1;2;Sijie Guo
7;bookkeeper-stats-providers/codahale-metrics-provider/src/main/java/org/apache/bookkeeper/stats/CodahaleMetricsProvider.java;8;4;2;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;18;12;2;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;10;0;12;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;1;1;12;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java;72;11;12;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java;176;2;12;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java;1;22;12;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java;21;0;12;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/MSLedgerManagerFactory.java;11;0;12;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;16;0;12;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/BookieLedgerIndexer.java;1;1;12;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java;11;0;12;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestWatchEnsembleChange.java;71;0;12;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;2;0;4;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/SlowBookieTest.java;8;8;4;Flavio Paiva Junqueira
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java;1;1;4;Flavio Paiva Junqueira
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java;7;1;3;Ivan Brendan Kelly
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java;92;50;3;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;14;5;2;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;8;8;3;Sijie Guo
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;1;5;3;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;23;6;2;Sijie Guo
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;8;2;4;Sijie Guo
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDirsManager.java;26;0;4;Sijie Guo
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieInitializationTest.java;48;0;4;Sijie Guo
1;hedwig-server/src/test/java/org/apache/hedwig/client/TestSubAfterCloseSub.java;2;0;2;Ivan Brendan Kelly
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieShutdownTest.java;72;1;3;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;51;28;2;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;5;3;4;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;3;1;4;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java;28;0;4;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;16;9;3;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestPerChannelBookieClient.java;75;0;3;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;42;20;4;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;34;5;4;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;39;0;4;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;1;34;8;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;18;4;8;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java;108;78;8;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java;4;3;8;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;76;10;8;Sijie Guo
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java;169;1;8;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java;10;12;4;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java;12;8;4;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/GcLedgersTest.java;46;6;4;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;12;0;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;106;45;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;2;2;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;6;1;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerChecker.java;4;1;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragmentReplicator.java;3;3;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;19;7;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;2;2;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;4;0;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;26;19;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java;7;1;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/CleanupLedgerManager.java;226;0;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;126;74;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;42;10;17;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;53;13;17;Ivan Brendan Kelly
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperCloseTest.java;676;0;17;Ivan Brendan Kelly
