Version;Filename;LOC_touched;LOC_added;MAXLOC_added;AVGLOC_added;churn;MAX_churn;AVG_churn;Change_setsize;MAXChange_setsize;AVGChange_setsize;Buggy
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/BinaryOperator.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/BinaryOperator.java;1;1;1;1;1;1;1;14;14;14;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/BinaryOperator.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/BinaryOperator.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/BinaryOperator.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/BooleanLiteral.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/BooleanLiteral.java;32;32;32;32;32;32;32;12;12;12;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/BooleanLiteral.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/BooleanLiteral.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/BooleanLiteral.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/CaseWhenPredicate.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/CaseWhenPredicate.java;4;3;3;3;2;2;2;14;14;14;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/CaseWhenPredicate.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/CaseWhenPredicate.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/CaseWhenPredicate.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/CastExpr.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/CastExpr.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/CastExpr.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/CastExpr.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/CastExpr.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnDefinition.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnDefinition.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnDefinition.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnDefinition.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnDefinition.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnReferenceExpr.java;24;12;12;12;0;0;0;37;37;37;no
2;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnReferenceExpr.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnReferenceExpr.java;0;0;0;0;0;0;0;0;0;0;no
