Dataset,#TrainingRelease,%training,%Defective in Training,%Defective in Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper,3,0.08703145196036191,0.5,0.008494572911750826,RandomForest,UnderSampling,Feature Selection,14.0,56.0,2045.0,4.0,0.2,0.7777777777777778,0.8788539848749273,0.30884143689658133
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,IBk,SMOTE,No Feature Selection,5.0,25.0,2076.0,13.0,0.16666666666666666,0.2777777777777778,0.6328732349674758,0.19983702997058525
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,NaiveBayes,SMOTE,No Feature Selection,10.0,43.0,2058.0,8.0,0.18867924528301888,0.5555555555555556,0.8748347347823787,0.2724634949273271
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,RandomForest,SMOTE,No Feature Selection,6.0,23.0,2078.0,12.0,0.20689655172413793,0.3333333333333333,0.8810354857475277,0.24743021238165752
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,IBk,SMOTE,Feature Selection,6.0,12.0,2089.0,12.0,0.3333333333333333,0.3333333333333333,0.5039134803532709,0.32762176741234283
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,NaiveBayes,SMOTE,Feature Selection,6.0,18.0,2083.0,12.0,0.25,0.3333333333333333,0.8499656248347348,0.2787119613316113
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,RandomForest,SMOTE,Feature Selection,7.0,17.0,2084.0,11.0,0.2916666666666667,0.3888888888888889,0.8258501242794436,0.3267978305761656
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,IBk,OverSampling,No Feature Selection,5.0,28.0,2073.0,13.0,0.15151515151515152,0.2777777777777778,0.6446930033317468,0.18714271011685904
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,NaiveBayes,OverSampling,No Feature Selection,11.0,43.0,2058.0,7.0,0.2037037037037037,0.6111111111111112,0.8824765984451848,0.29659284045039414
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,RandomForest,OverSampling,No Feature Selection,8.0,44.0,2057.0,10.0,0.15384615384615385,0.4444444444444444,0.8181289333121794,0.21871116634120333
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,IBk,OverSampling,Feature Selection,2.0,11.0,2090.0,16.0,0.15384615384615385,0.1111111111111111,0.84885504257232,0.12278253936614938
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,NaiveBayes,OverSampling,Feature Selection,13.0,49.0,2052.0,5.0,0.20967741935483872,0.7222222222222222,0.848722830398223,0.3159939744632016
bookkeeper,3,0.8551705283302576,0.5,0.008494572911750826,RandomForest,OverSampling,Feature Selection,2.0,11.0,2090.0,16.0,0.15384615384615385,0.1111111111111111,0.848722830398223,0.12278253936614938
bookkeeper,4,0.8,0.014039641340254837,0.008966493629070316,IBk,No Sampling,No Feature Selection,15.0,16.0,2084.0,4.0,0.4838709677419355,0.7894736842105263,0.8909273182957393,0.5955026152025348
bookkeeper,4,0.8,0.014039641340254837,0.008966493629070316,NaiveBayes,No Sampling,No Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.9891478696741854,0.0
bookkeeper,4,0.8,0.014039641340254837,0.008966493629070316,RandomForest,No Sampling,No Feature Selection,10.0,14.0,2086.0,9.0,0.4166666666666667,0.5263157894736842,0.9932581453634085,0.45970844188237847
bookkeeper,4,0.8,0.014039641340254837,0.008966493629070316,IBk,No Sampling,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.8,0.014039641340254837,0.008966493629070316,NaiveBayes,No Sampling,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.8,0.014039641340254837,0.008966493629070316,RandomForest,No Sampling,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.10097581671616461,0.5,0.008966493629070316,IBk,UnderSampling,No Feature Selection,19.0,29.0,2071.0,0.0,0.3958333333333333,1.0,0.9930952380952381,0.5615309420688006
bookkeeper,4,0.10097581671616461,0.5,0.008966493629070316,NaiveBayes,UnderSampling,No Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.9647869674185464,0.0
bookkeeper,4,0.10097581671616461,0.5,0.008966493629070316,RandomForest,UnderSampling,No Feature Selection,14.0,28.0,2072.0,5.0,0.3333333333333333,0.7368421052631579,0.9888721804511278,0.452253197872524
bookkeeper,4,0.10097581671616461,0.5,0.008966493629070316,IBk,UnderSampling,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.10097581671616461,0.5,0.008966493629070316,NaiveBayes,UnderSampling,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.10097581671616461,0.5,0.008966493629070316,RandomForest,UnderSampling,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,IBk,SMOTE,No Feature Selection,15.0,16.0,2084.0,4.0,0.4838709677419355,0.7894736842105263,0.8909398496240601,0.5955026152025348
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,NaiveBayes,SMOTE,No Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.9885338345864662,0.0
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,RandomForest,SMOTE,No Feature Selection,9.0,21.0,2079.0,10.0,0.3,0.47368421052631576,0.9923308270676692,0.3603236895151492
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,IBk,SMOTE,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,NaiveBayes,SMOTE,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,RandomForest,SMOTE,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,IBk,OverSampling,No Feature Selection,15.0,20.0,2080.0,4.0,0.42857142857142855,0.7894736842105263,0.8839974937343359,0.5503289240998783
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,NaiveBayes,OverSampling,No Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.9900125313283208,0.0
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,RandomForest,OverSampling,No Feature Selection,11.0,24.0,2076.0,8.0,0.3142857142857143,0.5789473684210527,0.9672932330827068,0.40043856546650736
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,IBk,OverSampling,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,NaiveBayes,OverSampling,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
bookkeeper,4,0.8874847342430839,0.5,0.008966493629070316,RandomForest,OverSampling,Feature Selection,0.0,0.0,2100.0,19.0,0.0,0.0,0.5,0.0
